Index	Name	Author	FileName	Tags	Dependencies	URL
0	CommunityLibrary	BG3 Community	CommunityLibrary_396c5966-09b0-40a1-af3f-93a5e9ce71c0.pak	API, Core, Library		
1	NoIntroPak	Caites	NoIntroPak_12a1fc9f-e39d-43f2-ab49-25026f073e46.pak			
2	vtex_to_tex	kartoffel	vtex_to_tex_83dd0f33-6b3d-415c-be02-fdfd4739f377.pak			
3	Player and NPC - Old Shaders	KickingWriter	PlayerOldShaders_84b00ce8-1d55-441f-b86d-96cb757f1e08.pak			
4	Player and NPC - Old Shaders (Textures)	KickingWriter	Player and NPC - Old Shaders (Textures)_6f96f303-62c4-402b-b449-23876dbc2c2f.pak			
5	Companions - Old Shaders	KickingWriter	CompanionsOldShaders_037c6df9-f376-4dc3-addf-afd1f8510e99.pak			
6	Companions - Old Shaders (Textures)	KickingWriter	Companions - Old Shaders (Textures)_898a0bee-579b-44cd-b6aa-ba4f567e7978.pak			
7	Gendered Icons for Disguise Self	loregamer	DisguiseSelfImproved_596fa4ca-8423-4710-b91a-285ffdfc4381.pak			
8	DiceSet_HQ_Themed_Druid_Glow	Sir William Snugglepuff on NexusMods	DiceSet_HQ_Themed_Druid_Glow_256a1ca6-4bba-420c-b25a-db0bc6e4a6f9.pak	d20, dice, die		
9	DiceSet_HQ_Themed_Druid_Simple	Sir William Snugglepuff on NexusMods	DiceSet_HQ_Themed_Druid_Simple_64f7084a-4bba-420c-b25a-db0bc6e4a6f9.pak	d20, dice, die		
10	DiceSet_HQ_Themed_Fire	Sir William Snugglepuff on NexusMods	DiceSet_HQ_Themed_Fire_13d7716a-3158-439d-a0a8-f2cb96c0c59a.pak	d20, dice, die		
11	DiceSet_HQ_Themed_Lava	Sir William Snugglepuff on NexusMods	DiceSet_HQ_Themed_Lava_a9462009-1360-4c59-b7b3-61e4ee2b9144.pak	d20, dice, die		
12	DiceSet_HQ_Themed_Necromancer	Sir William Snugglepuff on NexusMods	DiceSet_HQ_Themed_Necromancer_d6f60b7d-a859-4878-ab87-81788635747b.pak	d20, dice, die		
13	DiceSet_HQ_Themed_Paladin	Sir William Snugglepuff on NexusMods	DiceSet_HQ_Themed_Paladin_65e7134c-3068-4b54-86ab-80907f929fb4.pak	d20, dice, die		
14	DiceSet_HQ_Themed_Pink_Gold	Sir William Snugglepuff on NexusMods	DiceSet_HQ_Themed_Pink_Gold_61a278e8-6f63-4652-9c55-31d0c6f30a64.pak	d20, dice, die		
15	DiceSet_HQ_Themed_Pink_Leopard	Sir William Snugglepuff on NexusMods	DiceSet_HQ_Themed_Pink_Leopard_61a278e8-6e63-4652-9c55-31d0c6f31a64.pak	d20, dice, die		
16	DiceSet_HQ_Themed_Shield	Sir William Snugglepuff on NexusMods	DiceSet_HQ_Themed_Shield_2c95f6c0-46f7-4bdf-8788-254d030c2584.pak	d20, dice, die		
17	DiceSet_HQ_Themed_Warlock	Sir William Snugglepuff on NexusMods	DiceSet_HQ_Themed_Warlock_256a1ca6-5733-482b-a618-19ed454186e2.pak	d20, dice, die		
18	Emerald Dice	probablewitch	EmeraldDice_9e1cf23a-cb47-46bc-b53a-05a6e251fd23.pak			
19	Ruby Dice	probablewitch	RubyDice_149db8c6-a841-4d7d-b000-0cc43b57fd18.pak			
20	Sapphire Dice	probablewitch	SapphireDice_c8a860cb-70ec-441a-98ae-e959d9b5510d.pak			
21	Pearl Dice	probablewitch	PearlDice_02b246c4-0742-4da3-80f9-208c9774a207.pak			
22	Happy Face Dice	Lisannissan	HappyFaceDice_d5d85426-dcaa-41be-953e-ce8beaa024cd.pak			
23	Emotes	claravel	Emotes_5c0962bc-f6c9-43db-b88e-5836d5edef3a.pak			
24	AS_ExtraDyes_Bundle	AstralSprout	AS_ExtraDyes_Bundle_255b2fda-2e05-4dad-b5e6-28587cea4854.pak			
25	Danyas_Dyes	Lauren Scott	Danyas_Dyes_ef5d3237-69eb-4b98-ab7c-286c29e50364.pak			
26	Draconic Dyes	RadonWolf	RW_DraconicDyes_93661131-47d9-415a-996f-a590f3d3397d.pak			
27	Egaokage's_4Gems_Black_Dye	Egaokage	Egaokage's_4Gems_Black_Dye_ef2f2706-8415-4856-851c-0e44eaf768fc.pak			
28	HW_BoringDyes	HeartsWires	HW_BoringDyes_6dff611f-9f2e-45b1-b43e-06b62753cff9.pak			
29	FaerunColors	TechRoot	CRS_FaerunColors_20889478-26d7-4f43-b9d5-485e7d57dc96.pak			
30	NPC and Outfit Inspired Dyes	Padme4000	NPC_Dyes_1e9a70c4-11f6-43cd-8cb9-44926f62d44e.pak			
31	NV_FDyes	NovaF	NV_FDyes_56039680-613c-4539-af58-22e3d5757e98.pak			
32	Vessnelle_Hair1	Vessnelle	Vessnelle_Hair1_54ebec6c-00ce-48e1-8b75-53b6b72ecc3a.pak			
33	Vessnelle_Hair1 - Icon Patch	loregamer	Vessnelle_Icons1_a4c8deda-c028-43bd-97d1-ad4813c8bd5a.pak			
34	Vessnelle_Hair2	Vessnelle	Vessnelle_Hair2_d357aca8-e222-4c09-8b49-54354405502e.pak			
35	Vessnelle_Hair2 - Icon Patch	loregamer	Vessnelle_Icons2_466c522f-1c4f-42b4-af84-0780054968ea.pak			
36	Vessnelle_Hair3	Vessnelle	Vessnelle_Hair3_fb9c340a-771a-46e8-bc7c-0d40b80c1885.pak			
