Index	Name	Author	FileName	Tags	Dependencies	URL
0	CommunityLibrary	BG3 Community	CommunityLibrary_396c5966-09b0-40a1-af3f-93a5e9ce71c0.pak	API, Core, Library		
1	Bald Astarion	loregamer	BaldAstarion_b3171185-cd43-4702-a975-bc4bb85fd902.pak			
2	CC Hider - Hairs - Bald Options	loregamer	HideCC_Hairs_BaldStyles_7615dc2a-cc6f-40ba-b125-a7aff61dde9e.pak			
3	NoIntroPak	Caites	NoIntroPak_12a1fc9f-e39d-43f2-ab49-25026f073e46.pak			
4	DiceSet_06		DiceSet_06_ee4989eb-aab8-968f-8674-812ea2f4bfd7.pak			
5	BasketEquipmentSFW	AnteMaxx	BasketEquipmentSFW_b200f917-43ec-45d9-9dff-ac6191d62388.pak			
6	Cy's Armor Fixes	Cytraen	CyArmorFixes_0c15116a-4d1f-44a7-bd91-8c0aa78b227d.pak			
7	Extra Gear	pooteeweet	PTW_Extra_Gear_2cd6c65a-71cc-4db6-bfb2-70116ccd2b94.pak			
8	BagsBagsBags	Liareth	BagsBagsBags_3e158fb8-686e-4153-9430-e27f4b9fb7f8.pak			
9	BagsBagsBags No Story Items	bk0n9	BagsBagsBags-NoStoryItems_80f59234-f0ed-4406-94ca-a028dfadb766.pak			
10	Cactus' Armors and Clothes	CactusBack	CactusBack_27eb959f-02b1-4a9f-a6cb-e6fcefea8b60.pak			
11	Purchasable Camp Clothes - All Clothing Sets	anshela	PurchaseAllCampClothes_edebdd38-6cf9-40ed-9784-dab29705e78d.pak			
12	Fancy Camp Clothes	pooteeweet	PTW_Camp_Gear_9200b207-328e-4432-98e8-88a6cd735511.pak			
13	More Mage Gear - No Vendors	pooteeweet	PTW_Sorcerer_94fed047-7d79-41e3-9d1c-1a3b3de781e4.pak			
14	StockInstruments	Belinn	StockInstruments_3fccc807-eae5-416f-9837-16726b0958d9.pak			
15	Paladin and Cleric Gear	pooteeweet	PTW_Gear_Paladin_92d48458-fec4-440f-af56-9a2f218cd74b.pak			
16	TradeAutoSaver	OhhLoz	TradeAutoSaver_ecce9525-a198-4cdb-a2a3-23fd6881e766.pak	TradeAutoSaver		
17	ShortRestAutoSaver	OhhLoz	ShortRestAutoSaver_f35eee49-1ba8-4569-87f7-0ca9ce8116fc.pak	ShortRestAutoSaver		
18	CampAutoSaver	OhhLoz	CampAutoSaver_66009818-25ce-4bc7-8bba-cafdc3f1a73e.pak	CampAutoSaver		
19	Paladins Oath to the Gods	Sapphire	Paladins Deity_057cc8bd-fa3b-4ca7-933f-1291236ff871.pak			
20	TutorialChestSummoning	wesslen	TutorialChestSummoning_505c630c-79fa-49b6-9f21-29a5f2322c2d.pak			
21	CarryWeightTweaks	Avalonica	CarryWeightTweaks_8ed03eae-77ea-4bc4-b850-385a4f11ed47.pak			
22	JWL Drop All The Loot	Jewels	JWL_DATL_48cc6be3-f1c4-4acb-9172-189f13b1d753.pak			
23	RangedAttackNoCameraMove	Gycicada	RangedAttackNoCameraMove_37539405-b390-4eb8-8a73-f45555555555.pak			
24	KvCampEvents	Kvalyr	KvCampEvents_1b8d381f-6210-4473-85be-600457267a87.pak			
25	RichTraders	yakuzadeso	RichTraders_ede9c8dc-3eb9-492b-af3b-50c6e77901db.pak	Gameplay		
26	Mark Book As Read	FallenStar	Fallen_Mark_As_Read_c72d9f6a-a6e4-48b1-98c0-0ecdc7c31cf7.pak			
27	Party Limit Begone	Sildur	PartyLimitBegone_1d6c4030-67b9-4b0a-b3ab-caf6dd73d1af.pak			
28	Teleport To You	FallenStar	Teleport_To_You_ff4697d0-133a-4d23-802b-f99f0e5210db.pak			
29	Loot Autoseller	FallenStar	Auto_Sell_Loot_0662253d-1cbf-479f-80c2-5878c6eb5a80.pak			
30	Less Useless Spells	Me	LUS_5aa16cfa-63d9-44a3-896c-53331d3b7527.pak			
31	Sheathed	skixp	Sheathed_f8aeec00-bbc0-4345-888e-e5e8109d40f7.pak			
32	CombatAutoSaver	OhhLoz	CombatAutoSaver_0c4a55f3-1b4b-40dc-9631-748c49ceb650.pak			
33	CombatAutoSaverOnEnd	OhhLoz	CombatAutoSaverOnEnd_9837d6f1-e2e9-442d-bd9e-4d700d9defad.pak			
34	Ritual Misty Step	Joco	Ritual Misty Step_352b78cf-716c-4bcc-8e4f-a4365a9322de.pak			
35	Shower More - Dirt and Blood, Timer and Active	Loktide	ShowerMore_bad404aa-feed-a0ee-9999-feedfeed0005.pak			
36	MusicalProficiencyFromInstruments	Belinn	MusicalProficiencyFromInstruments_d4dd6968-f443-41af-8aad-404d56952d9f.pak			
37	AlwaysShowApprovals	ancientbuho	AlwaysShowApprovals_d59f8afd-8535-4bb3-81da-a931ea475813.pak			
38	True Initiative	Ledfoot89	True Initiative_de1b71ed-acc7-4364-82df-4a91e4cf86be.pak			
